Bidding Exercise,Announcement Date,Year,Category,Quota,Total Bids Received,Number of Successful Bids,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
July 2019 Second Open Bidding Exercise,2019-07-17,2019,Cat B (Cars above 1600cc or 97kW),1143,1677,1140,,,,,,,,,,,
August 2019 First Open Bidding Exercise,2019-08-07,2019,Cat B (Cars above 1600cc or 97kW),1047,1487,1043,,,,,,,,,,,
August 2019 Second Open Bidding Exercise,2019-08-21,2019,Cat B (Cars above 1600cc or 97kW),1045,1415,1043,,,,,,,,,,,
September 2019 First Open Bidding Exercise,2019-09-04,2019,Cat B (Cars above 1600cc or 97kW),1046,1289,1040,,,,,,,,,,,
September 2019 Second Open Bidding Exercise,2019-09-18,2019,Cat B (Cars above 1600cc or 97kW),1044,1418,1042,,,,,,,,,,,
October 2019 First Open Bidding Exercise,2019-10-09,2019,Cat B (Cars above 1600cc or 97kW),1048,1559,1042,,,,,,,,,,,
October 2019 Second Open Bidding Exercise,2019-10-23,2019,Cat B (Cars above 1600cc or 97kW),1044,1503,1037,,,,,,,,,,,
November 2019 First Open Bidding Exercise,2019-11-06,2019,Cat B (Cars above 1600cc or 97kW),1017,1296,1016,,,,,,,,,,,
November 2019 Second Open Bidding Exercise,2019-11-20,2019,Cat B (Cars above 1600cc or 97kW),1019,1331,1016,,,,,,,,,,,
December 2019 First Open Bidding Exercise,2019-12-04,2019,Cat B (Cars above 1600cc or 97kW),1013,1265,1003,,,,,,,,,,,
December 2019 Second Open Bidding Exercise,2019-12-18,2019,Cat B (Cars above 1600cc or 97kW),1015,1251,1015,,,,,,,,,,,
January 2020 First Open Bidding Exercise,2020-01-08,2020,Cat B (Cars above 1600cc or 97kW),1022,1229,1021,,,,,,,,,,,
January 2020 Second Open Bidding Exercise,2020-01-22,2020,Cat B (Cars above 1600cc or 97kW),1012,1157,1008,,,,,,,,,,,
February 2020 First Open Bidding Exercise,2020-02-05,2020,Cat B (Cars above 1600cc or 97kW),984,1173,980,,,,,,,,,,,
February 2020 Second Open Bidding Exercise,2020-02-19,2020,Cat B (Cars above 1600cc or 97kW),987,1459,978,,,,,,,,,,,
March 2020 First Open Bidding Exercise,2020-03-04,2020,Cat B (Cars above 1600cc or 97kW),987,1347,987,,,,,,,,,,,
March 2020 Second Open Bidding Exercise,2020-03-18,2020,Cat B (Cars above 1600cc or 97kW),992,1366,943,,,,,,,,,,,
July 2020 First Open Bidding Exercise,2020-07-08,2020,Cat B (Cars above 1600cc or 97kW),1291,3160,1260,,,,,,,,,,,
July 2020 Second Open Bidding Exercise,2020-07-22,2020,Cat B (Cars above 1600cc or 97kW),1339,2497,1316,,,,,,,,,,,
August 2020 First Open Bidding Exercise,2020-08-05,2020,Cat B (Cars above 1600cc or 97kW),932,1985,928,,,,,,,,,,,
August 2020 Second Open Bidding Exercise,2020-08-19,2020,Cat B (Cars above 1600cc or 97kW),923,1727,912,,,,,,,,,,,
September 2020 First Open Bidding Exercise,2020-09-09,2020,Cat B (Cars above 1600cc or 97kW),904,1715,892,,,,,,,,,,,
September 2020 Second Open Bidding Exercise,2020-09-23,2020,Cat B (Cars above 1600cc or 97kW),912,1497,912,,,,,,,,,,,
October 2020 First Open Bidding Exercise,2020-10-07,2020,Cat B (Cars above 1600cc or 97kW),805,1218,800,,,,,,,,,,,
October 2020 Second Open Bidding Exercise,2020-10-21,2020,Cat B (Cars above 1600cc or 97kW),793,1272,793,,,,,,,,,,,
November 2020 First Open Bidding Exercise,2020-11-04,2020,Cat B (Cars above 1600cc or 97kW),1013,1415,985,,,,,,,,,,,
November 2020 Second Open Bidding Exercise,2020-11-18,2020,Cat B (Cars above 1600cc or 97kW),1007,1559,1006,,,,,,,,,,,
December 2020 First Open Bidding Exercise,2020-12-09,2020,Cat B (Cars above 1600cc or 97kW),1035,1712,1019,,,,,,,,,,,
December 2020 Second Open Bidding Exercise,2020-12-23,2020,Cat B (Cars above 1600cc or 97kW),1009,1631,998,,,,,,,,,,,
January 2021 First Open Bidding Exercise,2021-01-06,2021,Cat B (Cars above 1600cc or 97kW),1023,1396,1021,,,,,,,,,,,
January 2021 Second Open Bidding Exercise,2021-01-20,2021,Cat B (Cars above 1600cc or 97kW),1023,1396,1021,,,,,,,,,,,
February 2021 First Open Bidding Exercise,2021-02-03,2021,Cat B (Cars above 1600cc or 97kW),943,1107,943,,,,,,,,,,,
February 2021 Second Open Bidding Exercise,2021-02-17,2021,Cat B (Cars above 1600cc or 97kW),942,1168,938,,,,,,,,,,,
March 2021 First Open Bidding Exercise,2021-03-03,2021,Cat B (Cars above 1600cc or 97kW),942,1121,926,,,,,,,,,,,
March 2021 Second Open Bidding Exercise,2021-03-17,2021,Cat B (Cars above 1600cc or 97kW),946,1222,932,,,,,,,,,,,
April 2021 First Open Bidding Exercise,2021-04-07,2021,Cat B (Cars above 1600cc or 97kW),958,1524,949,,,,,,,,,,,
April 2021 Second Open Bidding Exercise,2021-04-21,2021,Cat B (Cars above 1600cc or 97kW),956,1585,949,,,,,,,,,,,
May 2021 First Open Bidding Exercise,2021-05-05,2021,Cat B (Cars above 1600cc or 97kW),819,1244,813,,,,,,,,,,,
May 2021 Second Open Bidding Exercise,2021-05-19,2021,Cat B (Cars above 1600cc or 97kW),817,1089,817,,,,,,,,,,,
June 2021 First Open Bidding Exercise,2021-06-09,2021,Cat B (Cars above 1600cc or 97kW),815,1107,784,,,,,,,,,,,
June 2021 Second Open Bidding Exercise,2021-06-23,2021,Cat B (Cars above 1600cc or 97kW),809,983,799,,,,,,,,,,,
July 2021 First Open Bidding Exercise,2021-07-07,2021,Cat B (Cars above 1600cc or 97kW),840,1087,840,,,,,,,,,,,
July 2021 Second Open Bidding Exercise,2021-07-22,2021,Cat B (Cars above 1600cc or 97kW),819,1107,796,,,,,,,,,,,
August 2021 First Open Bidding Exercise,2021-08-04,2021,Cat B (Cars above 1600cc or 97kW),771,980,751,,,,,,,,,,,
August 2021 Second Open Bidding Exercise,2021-08-18,2021,Cat B (Cars above 1600cc or 97kW),794,1065,793,,,,,,,,,,,
September 2021 First Open Bidding Exercise,2021-09-08,2021,Cat B (Cars above 1600cc or 97kW),791,1080,788,,,,,,,,,,,
September 2021 Second Open Bidding Exercise,2021-09-22,2021,Cat B (Cars above 1600cc or 97kW),772,1189,768,,,,,,,,,,,
October 2021 First Open Bidding Exercise,2021-10-06,2021,Cat B (Cars above 1600cc or 97kW),774,1130,774,,,,,,,,,,,
October 2021 Second Open Bidding Exercise,2021-10-20,2021,Cat B (Cars above 1600cc or 97kW),774,1240,767,,,,,,,,,,,
November 2021 First Open Bidding Exercise,2021-11-03,2021,Cat B (Cars above 1600cc or 97kW),587,839,581,,,,,,,,,,,
November 2021 Second Open Bidding Exercise,2021-11-17,2021,Cat B (Cars above 1600cc or 97kW),594,797,585,,,,,,,,,,,
December 2021 First Open Bidding Exercise,2021-12-08,2021,Cat B (Cars above 1600cc or 97kW),593,822,593,,,,,,,,,,,
December 2021 Second Open Bidding Exercise,2021-12-22,2021,Cat B (Cars above 1600cc or 97kW),595,829,590,,,,,,,,,,,
January 2022 First Open Bidding Exercise,2022-01-05,2022,Cat B (Cars above 1600cc or 97kW),587,712,586,,,,,,,,,,,
January 2022 Second Open Bidding Exercise,2022-01-19,2022,Cat B (Cars above 1600cc or 97kW),592,907,583,,,,,,,,,,,
February 2022 First Open Bidding Exercise,2022-02-09,2022,Cat B (Cars above 1600cc or 97kW),550,865,549,,,,,,,,,,,
February 2022 Second Open Bidding Exercise,2022-02-23,2022,Cat B (Cars above 1600cc or 97kW),559,939,554,,,,,,,,,,,
